Emotions,Path
surprise,Audios - Train 2/03-01-08-02-01-01-23.wav
surprise,Audios - Train 2/Aug_03-01-08-02-01-01-23_PitchShiftRG_H0_TimeShifted_6.62.wav
surprise,Audios - Train 2/Aug_03-01-08-02-01-01-23_PitchShiftRG_L0_TimeShifted_5.09.wav
sad,Audios - Train 2/03-01-04-02-02-01-03.wav
sad,Audios - Train 2/Aug_03-01-04-02-02-01-03_PitchShiftRG_H0_TimeShifted_16.7.wav
sad,Audios - Train 2/Aug_03-01-04-02-02-01-03_PitchShiftRG_L0_TimeShifted_10.41.wav
neutral,Audios - Train 2/03-01-01-01-02-02-04.wav
neutral,Audios - Train 2/Aug_03-01-01-01-02-02-04_PitchShiftRG_H0_TimeShifted_10.67.wav
neutral,Audios - Train 2/Aug_03-01-01-01-02-02-04_PitchShiftRG_L0_TimeShifted_4.71.wav
calm,Audios - Train 2/03-01-02-02-01-02-17.wav
calm,Audios - Train 2/Aug_03-01-02-02-01-02-17_PitchShiftRG_H0_TimeShifted_8.7.wav
calm,Audios - Train 2/Aug_03-01-02-02-01-02-17_PitchShiftRG_L0_TimeShifted_7.13.wav
neutral,Audios - Train 2/03-01-01-01-02-02-20.wav
neutral,Audios - Train 2/Aug_03-01-01-01-02-02-20_PitchShiftRG_H0_TimeShifted_8.88.wav
neutral,Audios - Train 2/Aug_03-01-01-01-02-02-20_PitchShiftRG_L0_TimeShifted_-1212.59.wav
calm,Audios - Train 2/03-01-02-02-02-01-13.wav
calm,Audios - Train 2/Aug_03-01-02-02-02-01-13_PitchShiftRG_H0_TimeShifted_6.2.wav
calm,Audios - Train 2/Aug_03-01-02-02-02-01-13_PitchShiftRG_L0_TimeShifted_8.49.wav
disgust,Audios - Train 2/03-01-07-02-01-02-19.wav
disgust,Audios - Train 2/Aug_03-01-07-02-01-02-19_PitchShiftRG_H0_TimeShifted_12.16.wav
disgust,Audios - Train 2/Aug_03-01-07-02-01-02-19_PitchShiftRG_L0_TimeShifted_12.52.wav
surprise,Audios - Train 2/03-01-08-01-02-02-22.wav
surprise,Audios - Train 2/Aug_03-01-08-01-02-02-22_PitchShiftRG_H0_TimeShifted_5.06.wav
surprise,Audios - Train 2/Aug_03-01-08-01-02-02-22_PitchShiftRG_L0_TimeShifted_26.99.wav
neutral,Audios - Train 2/03-01-01-01-01-02-03.wav
neutral,Audios - Train 2/Aug_03-01-01-01-01-02-03_PitchShiftRG_H0_TimeShifted_-124.08.wav
neutral,Audios - Train 2/Aug_03-01-01-01-01-02-03_PitchShiftRG_L0_TimeShifted_8.76.wav
fear,Audios - Train 2/03-01-06-02-02-02-17.wav
fear,Audios - Train 2/Aug_03-01-06-02-02-02-17_PitchShiftRG_H0_TimeShifted_5.61.wav
fear,Audios - Train 2/Aug_03-01-06-02-02-02-17_PitchShiftRG_L0_TimeShifted_5.5.wav
angry,Audios - Train 2/03-01-05-01-02-02-21.wav
angry,Audios - Train 2/Aug_03-01-05-01-02-02-21_PitchShiftRG_H0_TimeShifted_3.54.wav
angry,Audios - Train 2/Aug_03-01-05-01-02-02-21_PitchShiftRG_L0_TimeShifted_7.54.wav
disgust,Audios - Train 2/03-01-07-01-02-01-16.wav
