Emotions,Path
fear,Audios - Train 3/1067_TAI_FEA_XX.wav
fear,Audios - Train 3/Aug1067_TAI_FEA_XX_TimeShifted_13.31.wav
fear,Audios - Train 3/Aug1067_TAI_FEA_XX_TimeShifted_5.34.wav
fear,Audios - Train 3/Aug1067_TAI_FEA_XX_TimeShifted_5.04.wav
fear,Audios - Train 3/Aug1067_TAI_FEA_XX_TimeShifted_8.54.wav
fear,Audios - Train 3/Aug1067_TAI_FEA_XX_TimeShifted_147.18.wav
sad,Audios - Train 3/1079_IEO_SAD_MD.wav
sad,Audios - Train 3/Aug1079_IEO_SAD_MD_TimeShifted_3.76.wav
sad,Audios - Train 3/Aug1079_IEO_SAD_MD_TimeShifted_16.05.wav
sad,Audios - Train 3/Aug1079_IEO_SAD_MD_TimeShifted_18.1.wav
sad,Audios - Train 3/Aug1079_IEO_SAD_MD_TimeShifted_5.24.wav
sad,Audios - Train 3/Aug1079_IEO_SAD_MD_TimeShifted_-2590.22.wav
sad,Audios - Train 3/OAF_cab_sad.wav
sad,Audios - Train 3/AugOAF_cab_sad_TimeShifted_10.99.wav
sad,Audios - Train 3/AugOAF_cab_sad_TimeShifted_4.74.wav
sad,Audios - Train 3/AugOAF_cab_sad_TimeShifted_22.97.wav
sad,Audios - Train 3/AugOAF_cab_sad_TimeShifted_3.74.wav
sad,Audios - Train 3/AugOAF_cab_sad_TimeShifted_-17.31.wav
sad,Audios - Train 3/1049_MTI_SAD_XX.wav
sad,Audios - Train 3/Aug1049_MTI_SAD_XX_TimeShifted_5.61.wav
sad,Audios - Train 3/Aug1049_MTI_SAD_XX_TimeShifted_-13.01.wav
sad,Audios - Train 3/Aug1049_MTI_SAD_XX_TimeShifted_23.37.wav
sad,Audios - Train 3/Aug1049_MTI_SAD_XX_TimeShifted_-30.63.wav
sad,Audios - Train 3/Aug1049_MTI_SAD_XX_TimeShifted_5.56.wav
happy,Audios - Train 3/YAF_juice_happy.wav
happy,Audios - Train 3/AugYAF_juice_happy_TimeShifted_-10.32.wav
happy,Audios - Train 3/AugYAF_juice_happy_TimeShifted_12.53.wav
happy,Audios - Train 3/AugYAF_juice_happy_TimeShifted_-95.88.wav
happy,Audios - Train 3/AugYAF_juice_happy_TimeShifted_11.02.wav
happy,Audios - Train 3/AugYAF_juice_happy_TimeShifted_8.99.wav
happy,Audios - Train 3/1042_DFA_HAP_XX.wav
happy,Audios - Train 3/Aug1042_DFA_HAP_XX_TimeShifted_11.93.wav
happy,Audios - Train 3/Aug1042_DFA_HAP_XX_TimeShifted_3.8.wav
happy,Audios - Train 3/Aug1042_DFA_HAP_XX_TimeShifted_18.76.wav
happy,Audios - Train 3/Aug1042_DFA_HAP_XX_TimeShifted_-281.45.wav
happy,Audios - Train 3/Aug1042_DFA_HAP_XX_TimeShifted_17.67.wav
sad,Audios - Train 3/03-01-04-02-01-02-11.wav
sad,Audios - Train 3/Aug03-01-04-02-01-02-11_TimeShifted_-313.65.wav
sad,Audios - Train 3/Aug03-01-04-02-01-02-11_TimeShifted_11.13.wav
sad,Audios - Train 3/Aug03-01-04-02-01-02-11_TimeShifted_-11.09.wav
sad,Audios - Train 3/Aug03-01-04-02-01-02-11_TimeShifted_37.26.wav
sad,Audios - Train 3/Aug03-01-04-02-01-02-11_TimeShifted_79.83.wav
happy,Audios - Train 3/YAF_keep_happy.wav
happy,Audios - Train 3/AugYAF_keep_happy_TimeShifted_3.07.wav
happy,Audios - Train 3/AugYAF_keep_happy_TimeShifted_4.05.wav
happy,Audios - Train 3/AugYAF_keep_happy_TimeShifted_7.68.wav
happy,Audios - Train 3/AugYAF_keep_happy_TimeShifted_2.84.wav
happy,Audios - Train 3/AugYAF_keep_happy_TimeShifted_4.37.wav
angry,Audios - Train 3/1075_IWL_ANG_XX.wav
angry,Audios - Train 3/Aug1075_IWL_ANG_XX_TimeShifted_11.5.wav
angry,Audios - Train 3/Aug1075_IWL_ANG_XX_TimeShifted_8.19.wav
angry,Audios - Train 3/Aug1075_IWL_ANG_XX_TimeShifted_25.84.wav
angry,Audios - Train 3/Aug1075_IWL_ANG_XX_TimeShifted_5.68.wav
angry,Audios - Train 3/Aug1075_IWL_ANG_XX_TimeShifted_-19.59.wav
sad,Audios - Train 3/1020_ITH_SAD_XX.wav
sad,Audios - Train 3/Aug1020_ITH_SAD_XX_TimeShifted_-20.79.wav
sad,Audios - Train 3/Aug1020_ITH_SAD_XX_TimeShifted_6.49.wav
sad,Audios - Train 3/Aug1020_ITH_SAD_XX_TimeShifted_25.32.wav
sad,Audios - Train 3/Aug1020_ITH_SAD_XX_TimeShifted_7.46.wav
sad,Audios - Train 3/Aug1020_ITH_SAD_XX_TimeShifted_-80.71.wav
happy,Audios - Train 3/1038_IEO_HAP_MD.wav
happy,Audios - Train 3/Aug1038_IEO_HAP_MD_TimeShifted_-18.21.wav
happy,Audios - Train 3/Aug1038_IEO_HAP_MD_TimeShifted_5.47.wav
